strain	date	agecat	country	region	accession
hRSV/A/France/ARA-HCL021030901201/2021	2021-02-16	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/France/ARA-HCL021040265201/2021	2021-03-02	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/France/ARA-HCL021048521701/2021	2021-03-15	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/France/ARA-HCL021062306602/2021	2021-04-02	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/France/ARA-HCL021083367301/2021	2021-05-03	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/France/ARA-HCL021064700201/2021	2021-04-07	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/France/ARA-HCL021143245601/2021	2021-08-10	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/Senegal/0004/2022	2022-01-04	Newborns	Senegal	Dakar	
hRSV/A/Senegal/2099/2023	2023-10-10	Preschool	Senegal	Dakar	
hRSV/A/Senegal/IPD-2778/2023	2023-12-08	Infants	Senegal	Dakar	
hRSV/A/France/BFC-RELAB-IPP02428/2024	2024-03-01	Geriatrics	France	Bourgogne-Franche-Comte	
hRSV/A/France/ARA-HCL021124543601/2021	2021-07-08	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/France/ARA-HCL021030966401/2021	2021-02-16	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/France/BRE-RELAB-IPP02928/2024	2024-01-29	Geriatrics	France	Bretagne	
hRSV/A/Italy/SIC-114_50/2021	2021-12-15		Italy	Sicily	
hRSV/A/Italy/SIC-315_50/2021	2021-12-17		Italy	Sicily	
hRSV/A/France/ARA-HCL021052781001/2021	2021-03-20	Preschool	France	Auvergne-Rhone-Alpes	
Yale-RSV-0221	2024-01-25	Children	USA	Connecticut	
hRSV/A/Argentina/PAIS-ELZ-37/2022	2022-07-20	Infants	Argentina	Buenos Aires	
hRSV/A/Australia/NT-RDH0227/2023	2023-10-15	Preschool	Australia	Northern Territory	
hRSV/A/Spain/AN-PMC-00094/2024	2024-04-04		Spain	Andalucia	
hRSV/A/Peru/LIM-UPCH-4103/2023	2023-05-18		Peru	Lima	
hRSV/A/Italy/LOM-37/2021	2021-11-23	Infants	Italy	Lombardy	
hRSV/A/France/ARA-HCL022181334701/2022	2022-10-27	Newborns	France	Auvergne-Rhone-Alpes	
hRSV/A/Spain/GA-CHUVI-22064726/2023	2023-01-12	Newborns	Spain	Galicia	
hRSV/A/Germany/RP-22-03065/2022	2022-01-10	Infants	Germany	Rhineland Palatinate	
hRSV/A/Spain/GA-CHUVI-34571969/2022	2022-02-08	Children	Spain	Galicia	
hRSV/A/Spain/CHUVI-19450008/2021	2021-11-21	Children	Spain	Galicia	
hRSV/A/Spain/CT-HUVH-648622/2021	2021-10-14	Preschool	Spain	Catalunya	
hRSV/A/France/ARA-HCL021197886901/2021	2021-11-05	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/Spain/CT-HUVH-916110/2022	2022-02-22	Newborns	Spain	Catalunya	
hRSV/A/Spain/CT-HUVH-820682/2022	2022-05-11	Infants	Spain	Catalunya	
hRSV/A/France/ARA-HCL021187253201/2021	2021-10-19	Newborns	France	Auvergne-Rhone-Alpes	
hRSV/A/France/ARA-HCL021125384001/2021	2021-07-10	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/France/ARA-HCL021144714301/2021	2021-08-13	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/Germany/TH-21-07100/2021	2021-09-21	Newborns	Germany	Thuringia	
hRSV/A/France/ARA-HCL022186560101/2022	2022-11-07	Children	France	Auvergne-Rhone-Alpes	
hRSV/A/Australia/NT-RDH0040/2023	2023-04-14	Preschool	Australia	Northern Territory	
hRSV/A/Spain/AN-PMC-00091/2024	2024-02-27		Spain	Andalucia	
hRSV/A/Spain/AN-PMC-00088/2024	2024-01-11		Spain	Andalucia	
hRSV/A/China/HB-WCDC-AH0323/2023	2023-06-13	Preschool	China	Hubei	
Yale-RSV-0237	2024-01-31	Geriatrics	USA	Connecticut	
Yale-RSV-0136	2023-11-28	Infants	USA	Connecticut	
Yale-RSV-0254	2024-02-03	Infants	USA	Connecticut	
hRSV/A/France/ARA-HCL021041570601/2021	2021-03-04	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/France/ARA-HCL021190216601/2021	2021-10-24	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/France/ARA-HCL021193743001/2021	2021-10-28	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/France/ARA-HCL022186541201/2022	2022-11-07	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/France/ARA-HCL022009776002/2022	2022-01-14	Geriatrics	France	Auvergne-Rhone-Alpes	
hRSV/A/Italy/LOM-3/2021	2021-12-03	Newborns	Italy	Lombardy	
hRSV/A/Spain/CT-HUVH-534566/2021	2021-05-11	Preschool	Spain	Catalunya	
hRSV/A/Spain/CT-HUVH-563986/2021	2021-06-19	Newborns	Spain	Catalunya	
hRSV/A/USA/NY-Wadsworth-23018839-01/2024	2023-03-10	Newborns	USA	New York	
hRSV/A/USA/MA-BIHM-13756/2022	2022-10-28		USA	Massachusetts	
hRSV/A/USA/AZ-ASU102721/2023	2023-01-14		USA	Arizona	
hRSV/A/USA/AZ-ASU101607/2022	2022-12-11		USA	Arizona	
hRSV/A/USA/AZ-ASU-102743/2023	2023-03-11		USA	Arizona	
hRSV/A/USA/WA-UW-01327/2023	2023-12-19		USA	Washington	
hRSV/A/Australia/SA-PSA0012/2023	2023-08-30	Preschool	Australia	South Australia	
hRSV/A/Australia/VIC-MMC048/2023	2023-07-08	Geriatrics	Australia	Victoria	
hRSV/A/Australia/VIC-RCH0182/2023	2023-08-06	Infants	Australia	Victoria	
hRSV/A/USA/WA-BBI-S23815/2023	2023-01-31		USA	Washington	
hRSV/A/USA/MA-Broad_MGB-13676/2022	2022-11-04		USA	Massachusetts	
hRSV/A/USA/AZ-ASU102683/2023	2023-02-04		USA	Arizona	
hRSV/A/USA/AZ-ASU102684/2023	2023-02-22		USA	Arizona	
hRSV/A/USA/AZ-ASU102675/2023	2023-01-05		USA	Arizona	
hRSV/A/USA/AZ-ASU-102675/2023	2023-01-05		USA	Arizona	
hRSV/A/USA/NY-Wadsworth-23023557-01/2024	2023-03-26	Infants	USA	New York	
hRSV/A/USA/WA-BBI-S23758/2022	2022-11-07		USA	Washington	
Yale-RSV-0179	2023-12-10	Preschool	USA	Connecticut	
Yale-RSV-0208	2024-01-23	Geriatrics	USA	Connecticut	
Yale-RSV-0160	2023-12-04	Preschool	USA	Connecticut	
Yale-RSV-0277	2024-02-08	Geriatrics	USA	Connecticut	
Yale-RSV-0043	2023-10-15	Preschool	USA	Connecticut	
Yale-RSV-0055	2023-10-24	Preschool	USA	Connecticut	
Yale-RSV-0085	2023-10-19	Geriatrics	USA	Connecticut	
Yale-RSV-0030	2023-10-23	Infants	USA	Connecticut	
Yale-RSV-0121	2023-11-22	Adults	USA	Connecticut	
hRSV/A/USA/LA2-95/2013	2013-02-19	Infants	USA	Tennessee	
hRSV/A/USA/TH-10236/2012	2012-09-12		USA		
hRSV/A/USA/TH-10534/2013	2013-08-26		USA		
hRSV/A/USA/LA2-69/2013	2013-02-11	Infants	USA	Tennessee	
hRSV/A/USA/LA2-07/2012	2012-12-26	Infants	USA	Tennessee	
hRSV/A/USA/A-TX-1043b-WGS/2013	2013-01-11		USA		
hRSV/A/USA/un-BCM-121310736A/2013	2013-12-27		USA		
hRSV/A/Germany/NI-15-00817/2014	2014-12-02	Preschool	Germany	Lower Saxony	
hRSV/A/England/140400200/2014	2014-01-17	Preschool	United Kingdom	England	
hRSV/A/Germany/BW-14-02853/2014	2014-03-18	Preschool	Germany	Baden-Wurttemberg	
hRSV/A/Madagascar/00267/2014	2014-01-29	Infants	Madagascar	Antananarivo	
hRSV/A/Morocco/53H-14/2014	2014-03-12	Preschool	Morocco	Rabat	
hRSV/A/Morocco/30H-14/2014	2014-02-14	Preschool	Morocco	Rabat	
hRSV/A/Morocco/36H-14/2014	2014-02-14	Preschool	Morocco	Rabat	
hRSV/A/Germany/BW-14-02421/2014	2014-03-03	Infants	Germany	Baden-Wurttemberg	
hRSV/A/Argentina/BA-HNRG-316/2017	2017-05-15	Infants	Argentina	Buenos Aires	
hRSV/A/Australia/A-NSW-WM1112A-16/2016	2016-10-27		Australia		
hRSV/A/Australia/A-NSW-WM1254A-16/2016	2016-07-31		Australia		
hRSV/A/Australia/A-NSW-WM0371A-16/2016	2016-10-02		Australia		
hRSV/A/Australia/A-NSW-WM1734B-16/2016	2016-01-04		Australia		
hRSV/A/Australia/A-NSW-WM1554A-16/2016	2016-08-02		Australia		
hRSV/A/USA/TH-10128/2012	2012-10-10		USA		
hRSV/A/England/164560313/2016	2016-11-07	Preschool	United Kingdom	England	
hRSV/A/England/135000088/2013	2013-12-06	Newborns	United Kingdom	England	
hRSV/A/England/140220141/2014	2014-01-03	Preschool	United Kingdom	England	
hRSV/A/Argentina/BA-HNRG-009/2014	2014-05-15	Infants	Argentina	Ciudad Autonoma de Buenos Aires	
hRSV/A/Morocco/160H-15/2015	2015-02-03	Infants	Morocco	Fes	
hRSV/A/USA/TH-10327/2012	2012-09-26		USA		
hRSV/A/USA/TH-10138/2012	2012-10-18		USA		
hRSV/A/USA/TH-10094/2012	2012-09-21		USA		
hRSV/A/Morocco/20-15/2014	2014-11-17	Preschool	Morocco	Meknes	
hRSV/A/Morocco/199H-15/2015	2015-03-03	Preschool	Morocco	Sale	
hRSV/A/USA/TH-10324/2012	2012-12-03		USA		
hRSV/A/Germany/BW-14-01559/2014	2014-02-03	Preschool	Germany	Baden-Wurttemberg	
hRSV/A/USA/TH-10098/2012	2012-10-22		USA		
hRSV/A/USA/TH-10255/2012	2012-08-31		USA		
hRSV/A/USA/TH-10307/2013	2013-03-04		USA		
hRSV/A/England/130700478/2013	2013-02-11	Preschool	United Kingdom	England	
hRSV/A/Australia/A-NSW-WM1008A-13/2013	2013-05-31		Australia		
hRSV/A/USA/TH-10603/2013	2013-11-25		USA		
hRSV/A/USA/TH-10566/2014	2014-01-27		USA		
hRSV/A/Australia/A-NSW-WM1825A-16/2016	2016-07-31		Australia		
hRSV/A/Australia/A-NSW-WM1991A-16/2016	2016-08-04		Australia		
hRSV/A/Australia/A-NSW-WM1053A-16/2016	2016-09-24		Australia		
hRSV/A/Argentina/BA-HNRG-069/2014	2014-07-03	Newborns	Argentina	Buenos Aires	
hRSV/A/Argentina/BA-HNRG-059/2014	2014-06-23	Infants	Argentina	Buenos Aires	
hRSV/A/Argentina/BA-HNRG-063/2014	2014-06-26	Infants	Argentina	Buenos Aires	
hRSV/A/USA/TH-10149/2012	2012-09-11		USA		
hRSV/A/Spain/CT-HUVH-144288/2015	2015-01-07	Infants	Spain	Catalunya	
hRSV/A/Spain/CT-HUVH-524295/2016	2016-11-29	Newborns	Spain	Catalunya	
hRSV/A/Argentina/BA-HNRG-023/2014	2014-05-28	Children	Argentina		
hRSV/A/Argentina/BA-HNRG-125/2015	2015-05-29	Infants	Argentina	Ciudad Autonoma de Buenos Aires	
hRSV/A/Argentina/BA-HNRG-138/2015	2015-06-08	Infants	Argentina	Ciudad Autonoma de Buenos Aires	
hRSV/A/USA/WA-BBI-S24929/2019	2019-12-17		USA	Washington	
hRSV/A/Australia/un-UMC-610102037/2019	2019-07-23		Australia		
hRSV/A/Brazil/un-UMC-550102160/2019	2019-07-03		Brazil		
hRSV/A/Australia/un-UMC-610102012/2019	2019-05-24		Australia		
hRSV/A/Australia/VIC-RCH069/2019	2019-05-20	Preschool	Australia	Victoria	
hRSV/A/England/174680287/2017	2017-11-15	Infants	United Kingdom	England	
hRSV/A/Spain/un-DP-SE01A-0071-V02/2019	2019-01-16	Infants	Spain		
hRSV/A/Spain/un-DP-SE01A-0047-V02/2019	2019-01-08	Infants	Spain		
hRSV/A/Australia/VIC-RCH179/2018	2018-11-29	Infants	Australia	Victoria	
hRSV/A/USA/WA-BBI-S23336/2020	2020-01-17		USA	Washington	
hRSV/A/Australia/QLD-RBWH015/2021	2021-01-13	Preschool	Australia	Queensland	
hRSV/A/Australia/QLD-RBWH100/2021	2021-02-14	Infants	Australia	Queensland	
hRSV/A/Zambia/Lusaka-1218/2019	2019-04-04		Zambia		
hRSV/A/Spain/CT-HUVH-459959/2017	2017-03-31	Infants	Spain	Catalunya	
hRSV/A/Australia/VIC-RCH181/2019	2019-09-02	Newborns	Australia	Victoria	
hRSV/A/Australia/VIC-RCH031/2018	2018-03-13	Infants	Australia	Victoria	
hRSV/A/Australia/VIC-RCH054/2018	2018-04-14	Infants	Australia	Victoria	
hRSV/A/Argentina/HNRG-415/2018	2018-06-28	Infants	Argentina	Buenos Aires	
hRSV/A/Argentina/BA-HNRG-331/2017	2017-05-29	Infants	Argentina	Ciudad Autonoma de Buenos Aires	
hRSV/A/Zambia/Lusaka-3117/2018	2018-05-10		Zambia		
hRSV/A/Zambia/Lusaka-4073/2018	2018-04-24		Zambia		
hRSV/A/Zambia/Lusaka-3923/2018	2018-05-03		Zambia		
hRSV/A/Zambia/Lusaka-3922/2018	2018-04-23		Zambia		
hRSV/A/USA/WA-BBI-S23251/2019	2019-11-29		USA	Washington	
hRSV/A/USA/WA-BBI-S23307/2020	2020-01-03		USA	Washington	
hRSV/A/Germany/un-UMC-490103024/2020	2020-03-11		Germany		
hRSV/A/Netherlands/un-DP-UU01A-0165-V02/2019	2019-12-03	Infants	Netherlands		
hRSV/A/USA/OR-BBI-S23808/2022	2022-12-11		USA	Oregon	
hRSV/A/USA/WA-BBI-S23794/2023	2023-01-23		USA	Washington	
hRSV/A/USA/WA-BBI-S23784/2022	2022-10-18		USA	Washington	
hRSV/A/USA/AZ-ASU102720/2023	2023-02-20		USA	Arizona	
hRSV/A/Argentina/BA-HNRG-340/2017	2017-06-05	Preschool	Argentina	Buenos Aires	
hRSV/A/Argentina/BA-HNRG-332/2017	2017-05-30	Infants	Argentina	Buenos Aires	
hRSV/A/Argentina/BA-HNRG-402/2017	2017-08-30	Newborns	Argentina	Ciudad Autonoma de Buenos Aires	
hRSV/A/England/194380339/2019	2019-10-24	Preschool	United Kingdom	England	
hRSV/A/Argentina/BA-HNRG-347/2017	2017-06-12	Newborns	Argentina	Buenos Aires	
hRSV/A/Argentina/BA-HNRG-382/2017	2017-07-05	Preschool	Argentina	Buenos Aires	
hRSV/A/Argentina/BA-HNRG-365/2017	2017-06-22	Preschool	Argentina	Buenos Aires	
hRSV/A/Spain/CT-HUVH-921110/2018	2018-10-30	Preschool	Spain	Catalunya	
hRSV/A/Spain/CT-HUVH-701328/2018	2018-10-08	Newborns	Spain	Catalunya	
hRSV/A/Finland/UMC-358102020/2019	2019-04-08		Finland		
hRSV/A/Argentina/BA-HNRG-433/2019	2019-06-06	Infants	Argentina	Buenos Aires	
hRSV/A/USA/AZ-ASU-102740/2022	2022-11-30		USA	Arizona	
hRSV/A/Ecuador/GSB-1171-1597/2024	2024-02-17	Infants	Ecuador	Imbabura	
Yale-RSV-0097	2023-11-18	Preschool	USA	Connecticut	
hRSV/A/Germany/RP-21-07063/2021	2021-09-10	Infants	Germany	Rhineland Palatinate	
hRSV/A/Mozambique/MAP-IR0041/2019	2019-01-17	Preschool	Mozambique	Maputo	
hRSV/A/Australia/VIC-RCH025/2019	2019-07-07	Infants	Australia	Victoria	
hRSV/A/Argentina/PAIS-ELZ-33/2022	2022-07-15	Infants	Argentina	Buenos Aires	
hRSV/A/Brazil/RJ-FIOCRUZ-20530/2020	2020-10-22	Preschool	Brazil	Rio de Janeiro	
hRSV/A/Argentina/BA-HNRG-452/2021	2021-08-03	Infants	Argentina	Buenos Aires	
Yale-RSV-0262	2024-02-05	Preschool	USA	Connecticut	
hRSV/A/Spain/GA-CHUAC-136/2024	2024-03-03	Infants	Spain	Galicia	
Yale-RSV-0189	2023-12-05	Preschool	USA	Connecticut	
hRSV/A/Spain/AN-PMC-00082/2024	2024-03-08		Spain	Andalucia	
hRSV/A/Argentina/PAIS-HNRG-463/2022	2022-08-24	Infants	Argentina	Buenos Aires	
hRSV/A/Argentina/PAIS-ELZ-41/2022	2022-08-24	Infants	Argentina	Buenos Aires	
hRSV/A/Argentina/PAIS-HNRG-456/2022	2022-05-04	Infants	Argentina	Buenos Aires	
Yale-RSV-0133	2023-11-27	Geriatrics	USA	Connecticut	
hRSV/A/Brazil/PB-IEC-038403/2023	2023-05-28	Newborns	Brazil	Paraiba	
hRSV/A/Italy/LIG-0502-1/2024	2024-02-05	Adults	Italy	Liguria	
hRSV/A/USA/WA-BBI-S24228/2023	2023-09-29		USA	Washington	
hRSV/A/Brazil/AL-FIOCRUZ-6103/2023	2023-05-18	Infants	Brazil	Alagoas	
hRSV/A/Brazil/AL-FIOCRUZ-7221/2023	2023-06-15	Infants	Brazil	Alagoas	
hRSV/A/Brazil/AL-FIOCRUZ-6101/2023	2023-05-16	Infants	Brazil	Alagoas	
hRSV/A/Brazil/AL-FIOCRUZ-6109/2023	2023-06-04	Infants	Brazil	Alagoas	
hRSV/A/France/ARA-HCL022183000501/2022	2022-10-31	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/Senegal/1712/2022	2022-09-01	Newborns	Senegal	Dakar	
hRSV/A/Senegal/0694/2023	2023-05-02	Infants	Senegal	Dakar	
hRSV/A/Senegal/1917/2023	2023-09-25	Infants	Senegal	Dakar	
hRSV/A/Spain/CM-ISCIII-2519/2023	2023-12-04	Geriatrics	Spain	Castilla La Mancha	
hRSV/A/Australia/VIC-RCH001/2022	2022-01-16	Preschool	Australia	Victoria	
hRSV/A/Australia/un-VIDRL-005/2022	2022-01-14		Australia		
hRSV/A/England/212942129/2021	2021-07-19		United Kingdom	England	
hRSV/A/England/214640633/2021	2021-11-15		United Kingdom	England	
hRSV/A/Italy/SIC-43_07/2023	2023-02-18		Italy	Sicily	
hRSV/A/Spain/CT-HUVH-528302/2016	2016-12-06	Infants	Spain	Catalunya	
hRSV/A/Spain/CT-HUVH-533574/2016	2016-12-15	Newborns	Spain	Catalunya	
hRSV/A/Spain/CT-HUVH-548702/2017	2017-01-06	Infants	Spain	Catalunya	
hRSV/A/Germany/HB-21-07326/2021	2021-09-28	Preschool	Germany	Bremen	
hRSV/A/Germany/NW-22-01286/2021	2021-10-19	Infants	Germany	North Rhine-Westphalia	
hRSV/A/Argentina/BA-HNRG-441/2019	2019-07-29	Newborns	Argentina	Buenos Aires	
hRSV/A/Australia/VIC-RCH0176/2023	2023-07-23	Preschool	Australia	Victoria	
hRSV/A/USA/AZ-ASU101583/2022	2022-12-13		USA	Arizona	
hRSV/A/USA/AZ-USAFSAM-R00010/2022	2022-12-06		USA	Arizona	
hRSV/A/Brazil/RJ-FIOCRUZ-9007/2023	2023-05-02		Brazil	Rio de Janeiro	
hRSV/A/Brazil/SP-FIOCRUZ-4454/2023	2023-03-21	Infants	Brazil	Sao Paulo	
hRSV/A/Brazil/RJ-FIOCRUZ-34997/2020	2020-06-13		Brazil	Rio de Janeiro	
hRSV/A/Brazil/RJ-FIOCRUZ-35000/2020	2020-10-04		Brazil	Rio de Janeiro	
hRSV/A/Brazil/RJ-FIOCRUZ-34998/2020	2020-09-18		Brazil	Rio de Janeiro	
hRSV/A/Brazil/RS-FIOCRUZ-68569/2021	2021-07-07	Infants	Brazil	Rio Grande do Sul	
hRSV/A/Brazil/RS-FIOCRUZ-68519/2021	2021-05-15	Preschool	Brazil	Rio Grande do Sul	
hRSV/A/Brazil/RS-FIOCRUZ-68593/2021	2021-08-12	Children	Brazil	Rio Grande do Sul	
hRSV/A/Germany/BE-20-02746/2020	2020-02-25	Geriatrics	Germany	Berlin	
hRSV/A/Brazil/un-UMC-550102143/2019	2019-06-19		Brazil		
hRSV/A/Argentina/BA-HNRG-437/2019	2019-06-19	Infants	Argentina	Buenos Aires	
hRSV/A/USA/MA-BIHM-13823/2022	2022-08-11		USA	Massachusetts	
hRSV/A/Spain/un-UMC-340103038/2020	2020-02-28		Spain		
hRSV/A/Spain/un-DP-SE01A-0139-V02/2019	2019-12-23	Infants	Spain		
hRSV/A/Australia/VIC-RCH0005/2023	2023-02-04	Infants	Australia	Victoria	
hRSV/A/USA/MA-BIHM-13767/2022	2022-10-23		USA	Massachusetts	
hRSV/A/USA/NY-Wadsworth-23018835-01/2024	2023-02-05	Infants	USA	New York	
hRSV/A/Australia/VIC-RCH119/2018	2018-07-02	Infants	Australia	Victoria	
hRSV/A/Australia/VIC-RCH126/2017	2017-08-29	Infants	Australia	Victoria	
hRSV/A/Australia/VIC-RCH138/2017	2017-09-20	Infants	Australia	Victoria	
hRSV/A/Australia/VIC-RCH100/2017	2017-08-01	Infants	Australia	Victoria	
hRSV/A/Australia/un-VIDRL-067/2017	2017-09-11		Australia		
hRSV/A/Australia/un-VIDRL-013/2017	2017-09-11		Australia		
hRSV/A/England/RE19003128/2019	2019-11-26	Infants	United Kingdom	England	
hRSV/A/England/RE19003148/2019	2019-11-20	Newborns	United Kingdom	England	
hRSV/A/Australia/VIC-MMC054/2020	2020-12-30	Preschool	Australia	Victoria	
hRSV/A/Australia/VIC-RCH031/2021	2021-02-27	Newborns	Australia	Victoria	
hRSV/A/Australia/P533369/2020	2020-12-03		Australia	Australian Capital Territory	
hRSV/A/Australia/WM3351169/2020	2020-11-30		Australia	New South Wales	
hRSV/A/Australia/P507350/2020	2020-11-18		Australia	Australian Capital Territory	
hRSV/A/Australia/VIC-RCH092/2021	2021-04-10	Infants	Australia	Victoria	
hRSV/A/Australia/VIC-MMC035/2020	2020-12-22	Preschool	Australia	Victoria	
hRSV/A/Australia/VIC-RCH016/2021	2021-02-11	Newborns	Australia	Victoria	
hRSV/A/Australia/WM3321046/2020	2020-11-27		Australia	New South Wales	
hRSV/A/Australia/WM3312926/2020	2020-11-26		Australia	New South Wales	
hRSV/A/Australia/QLD-RBWH228/2021	2021-03-15	Infants	Australia	Queensland	
hRSV/A/Australia/VIC-RCH004/2020	2020-12-29	Preschool	Australia	Victoria	
hRSV/A/Australia/QLD-RBWH198/2021	2021-03-08	Infants	Australia	Queensland	
hRSV/A/Australia/VIC-RCH019/2021	2021-02-14	Preschool	Australia	Victoria	
hRSV/A/Australia/VIC-RCH098/2021	2021-04-13	Newborns	Australia	Victoria	
hRSV/A/Australia/VIC-MMC053/2020	2020-12-30		Australia	Victoria	
hRSV/A/Australia/VIC-RCH101/2021	2021-04-18	Infants	Australia	Victoria	
hRSV/A/Australia/QLD-RBWH282/2021	2021-04-04	Newborns	Australia	Queensland	
hRSV/A/Australia/VIC-RCH020/2022	2022-06-05	Infants	Australia	Victoria	
hRSV/A/Australia/QLD-RBWH383/2022	2022-06-26	Infants	Australia	Queensland	
hRSV/A/Australia/NT-RDH0274/2022	2022-08-25	Infants	Australia	Northern Territory	
hRSV/A/Australia/NT-RDH052/2022	2022-07-07	Infants	Australia	Northern Territory	
hRSV/A/Argentina/HNRG-403/2018	2018-05-04	Infants	Argentina	Buenos Aires	
hRSV/A/Argentina/BA-HNRG-416/2018	2018-06-29	Newborns	Argentina	Buenos Aires	
hRSV/A/Australia/NT-RDH0178/2023	2023-09-22	Infants	Australia	Northern Territory	
hRSV/A/Australia/NT-RDH0353/2023	2023-12-26	Infants	Australia	Northern Territory	
Yale-RSV-0252	2024-02-02	Geriatrics	USA	Connecticut	
hRSV/A/France/ARA-HCL023199621401/2023	2023-12-18	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/France/ARA-HCL024024602101/2024	2024-02-11	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/Canada/un-UMC-010103032/2020	2020-02-06		Canada		
hRSV/A/France/GES-RELAB-IPP26328/2023	2023-10-24	Children	France	Grand Est	
hRSV/A/Kenya/KEMRI-20163/2022	2022-02-15		Kenya	Kilifi	
hRSV/A/France/BRE-RELAB-IPP29650/2023	2023-11-20	Geriatrics	France	Bretagne	
hRSV/A/Croatia/HZJZ_6129/2023	2023-11-07	Preschool	Croatia	Sisak-Moslavina County	
hRSV/A/France/ARA-HCL024034462101/2024	2024-02-27	Preschool	France	Auvergne-Rhone-Alpes	
hRSV/A/France/BFC-RELAB-IPP29713/2023	2023-11-24	Geriatrics	France	Bourgogne-Franche-Comte	
hRSV/A/France/ARA-HCL023203127601/2023	2023-12-25	Children	France	Auvergne-Rhone-Alpes	
hRSV/A/France/BRE-RELAB-IPP29679/2023	2023-11-24	Infants	France	Bretagne	
hRSV/A/USA/WA-BBI-S23236/2019	2019-11-18		USA	Washington	
hRSV/A/USA/WA-BBI-S23371/2020	2020-03-13		USA	Washington	
hRSV/A/USA/WA-BBI-S23295/2019	2019-12-29		USA	Washington	
hRSV/A/Australia/2001479/2020	2020-10-21		Australia	Western Australia	
hRSV/A/Australia/3002650/2021	2021-01-01		Australia	Western Australia	
hRSV/A/Australia/3004/2021	2021-01-09		Australia	Western Australia	
hRSV/A/Australia/7494P/2020	2020-09-03		Australia	Western Australia	
hRSV/A/Australia/6545C/2020	2020-08-20		Australia	Western Australia	
hRSV/A/Australia/3471/2020	2020-10-20		Australia	Western Australia	
hRSV/A/Australia/un-UMC-610103044/2021	2021-01-11		Australia		
hRSV/A/Australia/un-UMC-610103020/2020	2020-11-29		Australia		
hRSV/A/Australia/un-UMC-610103043/2021	2021-01-09		Australia		
hRSV/A/Australia/1643/2021	2021-01-10		Australia	Western Australia	
hRSV/A/Australia/9005783/2020	2020-10-19		Australia	Western Australia	
hRSV/A/Australia/9005762/2020	2020-10-19		Australia	Western Australia	